structure,tau,K,seed,initial_fitness,final_fitness,peak_fitness,improvement,steps_to_95pct,N,n_agents,T,fragmentation_cost,sweep,n_agents_setting
V,0.3,10,1,0.669306429400797,0.6941443880661436,0.6941443880661436,0.02483795866534666,1,15,30,40,0.1,fragmentation_cost,
V,0.3,10,2,0.5725660669597926,0.7245093249709996,0.7245093249709996,0.151943258011207,4,15,30,40,0.1,fragmentation_cost,
V,0.3,10,3,0.36052038351762605,0.7405614004042904,0.7405614004042904,0.38004101688666436,4,15,30,40,0.1,fragmentation_cost,
V,0.3,10,4,0.3097996008738176,0.7117782378774093,0.7117782378774093,0.40197863700359177,4,15,30,40,0.1,fragmentation_cost,
V,0.3,10,5,0.4208966724707784,0.6487338799369684,0.6487338799369684,0.22783720746619002,4,15,30,40,0.1,fragmentation_cost,
V,0.3,10,6,0.40902768802474665,0.6798802522693722,0.6798802522693722,0.27085256424462556,2,15,30,40,0.1,fragmentation_cost,
V,0.3,10,7,0.5518823312271626,0.7130681033981525,0.7130681033981525,0.16118577217098995,3,15,30,40,0.1,fragmentation_cost,
V,0.3,10,8,0.3908540874085847,0.6802708989566499,0.6802708989566499,0.28941681154806526,3,15,30,40,0.1,fragmentation_cost,
V,0.3,10,9,0.40384393025153786,0.6010997813877469,0.6010997813877469,0.19725585113620903,3,15,30,40,0.1,fragmentation_cost,
V,0.3,10,10,0.5716392301433474,0.6834289311942541,0.6834289311942541,0.11178970105090669,2,15,30,40,0.1,fragmentation_cost,
V,0.3,10,11,0.4683800132963383,0.6717374100189988,0.6717374100189988,0.20335739672266046,4,15,30,40,0.1,fragmentation_cost,
V,0.3,10,12,0.5376540836347197,0.6639914808307824,0.6639914808307824,0.12633739719606274,1,15,30,40,0.1,fragmentation_cost,
V,0.3,10,13,0.47173517130861387,0.6759060162714412,0.6759060162714412,0.20417084496282734,3,15,30,40,0.1,fragmentation_cost,
V,0.3,10,14,0.3643059907222602,0.6633142403866559,0.6633142403866559,0.29900824966439565,2,15,30,40,0.1,fragmentation_cost,
V,0.3,10,15,0.4717154657534186,0.5835158308082733,0.5835158308082733,0.11180036505485469,1,15,30,40,0.1,fragmentation_cost,
