structure,tau,K,seed,initial_fitness,final_fitness,peak_fitness,improvement,N,n_agents,T,shock_every,reshuffle_frac
V,0.1,5,5,0.5988741422896192,0.7604637182344631,0.7882444370580025,0.1615895759448439,15,30,40,10,0.25
V,0.1,5,6,0.6004609739334419,0.6774457857891624,0.7105566591070206,0.07698481185572048,15,30,40,10,0.25
V,0.1,5,7,0.4672792533299504,0.6812264833267239,0.7447879374363934,0.21394722999677346,15,30,40,10,0.25
V,0.1,5,8,0.3799152874177953,0.7199395289315965,0.7806153589598334,0.34002424151380123,15,30,40,10,0.25
V,0.1,5,9,0.5461265282269877,0.7599347189959916,0.79530352343539,0.21380819076900393,15,30,40,10,0.25
V,0.1,5,10,0.547106937283661,0.7439150699089568,0.7571071144937128,0.19680813262529584,15,30,40,10,0.25
V,0.1,5,11,0.5480753715359784,0.7460449278817401,0.7460449278817401,0.19796955634576174,15,30,40,10,0.25
V,0.1,5,12,0.5463679246748563,0.6908771732249633,0.7808067079917972,0.14450924855010705,15,30,40,10,0.25
V,0.1,5,13,0.49865641044064757,0.6496314457043758,0.7032983819202843,0.15097503526372824,15,30,40,10,0.25
V,0.1,5,14,0.4989891867508092,0.5976598091872406,0.7193013668376594,0.09867062243643138,15,30,40,10,0.25
V,0.1,5,15,0.5154051990280959,0.7207162396491682,0.7628377800557388,0.2053110406210723,15,30,40,10,0.25
V,0.1,5,16,0.5397129686170723,0.6756242731504304,0.7595831889821859,0.1359113045333581,15,30,40,10,0.25
V,0.1,5,17,0.5615192122541067,0.7786510957435279,0.803915476789306,0.21713188348942114,15,30,40,10,0.25
V,0.1,5,18,0.4875839968229761,0.7265708478996851,0.8030963861512234,0.23898685107670897,15,30,40,10,0.25
V,0.1,5,19,0.5604835045925827,0.6837688389654819,0.7548006820546415,0.12328533437289924,15,30,40,10,0.25
V,0.1,5,20,0.42922956265904044,0.6732717078395628,0.8007311759358209,0.24404214518052236,15,30,40,10,0.25
V,0.1,10,1,0.5703198262052117,0.752657318951248,0.7704349288054073,0.18233749274603628,15,30,40,10,0.25
V,0.1,10,2,0.5128344255121704,0.6689887498506316,0.7472116340808446,0.15615432433846121,15,30,40,10,0.25
V,0.1,10,3,0.549967524178634,0.6056171442445695,0.741903520324892,0.055649620065935435,15,30,40,10,0.25
V,0.1,10,4,0.4825296772551749,0.7295218846689504,0.7295218846689504,0.24699220741377548,15,30,40,10,0.25
V,0.1,10,5,0.5789895462385708,0.6861988244013679,0.7728818143251198,0.10720927816279713,15,30,40,10,0.25
V,0.1,10,6,0.544639988514082,0.6139120035285952,0.7170199587313332,0.06927201501451319,15,30,40,10,0.25
V,0.1,10,7,0.6380435506882384,0.6344318652617325,0.7514240212601299,-0.0036116854265059173,15,30,40,10,0.25
V,0.1,10,8,0.6255635995985097,0.6102655472620218,0.7847296080719083,-0.015298052336487955,15,30,40,10,0.25
V,0.1,10,9,0.5469267157696619,0.6099897273852287,0.678724722435383,0.06306301161556682,15,30,40,10,0.25
V,0.1,10,10,0.4983390703834149,0.631764978816534,0.7059895270384301,0.13342590843311913,15,30,40,10,0.25
V,0.1,10,11,0.3967913485152254,0.6195721540810359,0.6987360181395764,0.22278080556581054,15,30,40,10,0.25
V,0.1,10,12,0.5070566967256871,0.6237620875566717,0.6923005841380134,0.11670539083098463,15,30,40,10,0.25
V,0.1,10,13,0.44135948652768514,0.6499402836124785,0.6966639226795516,0.20858079708479332,15,30,40,10,0.25
V,0.1,10,14,0.4742608987728079,0.6613538854961912,0.6974077252074918,0.18709298672338331,15,30,40,10,0.25
