structure,tau,K,seed,shock_every,reshuffle_frac,initial_fitness,final_fitness,improvement,N,n_agents,T
V,0.2,2,29,100,0.25,0.4179044527333796,0.6877715153076694,0.26986706257428983,15,30,40
V,0.2,2,30,100,0.25,0.524054938010421,0.7048882088637387,0.18083327085331768,15,30,40
V,0.2,5,1,100,0.25,0.571660078891771,0.6998606021284153,0.12820052323664433,15,30,40
V,0.2,5,2,100,0.25,0.433923952508582,0.6607696861018703,0.22684573359328825,15,30,40
V,0.2,5,3,100,0.25,0.4122161532568101,0.7961038337897011,0.38388768053289096,15,30,40
V,0.2,5,4,100,0.25,0.49438891325095574,0.7254710429307291,0.23108212967977332,15,30,40
V,0.2,5,5,100,0.25,0.5223259348342124,0.6769984373823931,0.15467250254818066,15,30,40
V,0.2,5,6,100,0.25,0.5219488760619105,0.6506318334460237,0.12868295738411317,15,30,40
V,0.2,5,7,100,0.25,0.5594345837024084,0.707184220500996,0.14774963679858766,15,30,40
V,0.2,5,8,100,0.25,0.6180800855290997,0.6688071050932464,0.050727019564146714,15,30,40
V,0.2,5,9,100,0.25,0.5288864210208934,0.7408033624898203,0.2119169414689268,15,30,40
V,0.2,5,10,100,0.25,0.42306912572763744,0.7195658452329404,0.296496719505303,15,30,40
V,0.2,5,11,100,0.25,0.42578342219291404,0.6531813302366617,0.22739790804374765,15,30,40
V,0.2,5,12,100,0.25,0.5368110904279748,0.6540333695307915,0.11722227910281668,15,30,40
V,0.2,5,13,100,0.25,0.4830752988737991,0.6896032166444002,0.2065279177706011,15,30,40
V,0.2,5,14,100,0.25,0.5687155187474914,0.7466155301533136,0.17790001140582223,15,30,40
V,0.2,5,15,100,0.25,0.477355077487979,0.655721469618397,0.17836639213041794,15,30,40
V,0.2,5,16,100,0.25,0.49742581555870274,0.7644197900908705,0.2669939745321677,15,30,40
V,0.2,5,17,100,0.25,0.5025320511306273,0.7262418920450796,0.22370984091445234,15,30,40
V,0.2,5,18,100,0.25,0.47880494097895787,0.6566251000785961,0.17782015909963822,15,30,40
V,0.2,5,19,100,0.25,0.6052079182007554,0.7863540618413184,0.18114614364056303,15,30,40
V,0.2,5,20,100,0.25,0.6102318754647879,0.7494652105134428,0.13923333504865498,15,30,40
V,0.2,5,21,100,0.25,0.494206435793589,0.7031734790459203,0.20896704325233129,15,30,40
V,0.2,5,22,100,0.25,0.569617532946388,0.6406680058479522,0.0710504729015643,15,30,40
V,0.2,5,23,100,0.25,0.44535802592552803,0.6875918786878987,0.2422338527623707,15,30,40
V,0.2,5,24,100,0.25,0.4055090513661368,0.6681146800593937,0.2626056286932569,15,30,40
V,0.2,5,25,100,0.25,0.4926453021624084,0.7518469813137458,0.2592016791513374,15,30,40
V,0.2,5,26,100,0.25,0.4413990192586613,0.688501913632803,0.24710289437414168,15,30,40
V,0.2,5,27,100,0.25,0.6658534050104329,0.7380431037909517,0.07218969878051884,15,30,40
V,0.2,5,28,100,0.25,0.43406619346908154,0.7609066608006602,0.3268404673315786,15,30,40
V,0.2,5,29,100,0.25,0.46694031346170944,0.6679081001319911,0.20096778667028165,15,30,40
V,0.2,5,30,100,0.25,0.49037378787124297,0.7607833413580178,0.27040955348677487,15,30,40
V,0.2,10,1,100,0.25,0.5175376908505877,0.6312594351905745,0.11372174433998683,15,30,40
V,0.2,10,2,100,0.25,0.46035813033212397,0.6605249487355087,0.20016681840338474,15,30,40
V,0.2,10,3,100,0.25,0.49900211948573836,0.6828929977219619,0.18389087823622352,15,30,40
V,0.2,10,4,100,0.25,0.4567849869625448,0.6073974078448818,0.150612420882337,15,30,40
V,0.2,10,5,100,0.25,0.4599755132029178,0.6892778102961871,0.22930229709326927,15,30,40
V,0.2,10,6,100,0.25,0.5868375104128213,0.6707048030927643,0.08386729267994297,15,30,40
V,0.2,10,7,100,0.25,0.5501451328516614,0.6157264031695812,0.06558127031791972,15,30,40
V,0.2,10,8,100,0.25,0.5041457085369945,0.7110595172580695,0.206913808721075,15,30,40
V,0.2,10,9,100,0.25,0.6525680268827488,0.6525680268827488,0.0,15,30,40
